#{"t_start": 1742565129.8357852, "env_id": "None"}
r,l,t
263.666667,12,79.929332
205.666667,10,79.969214
192.333333,6,79.997818
217.333333,10,80.044311
390.5,23,80.137768
243.833333,8,80.172894
177.5,12,80.23462
246.0,14,80.312699
197.5,9,80.358321
264.333333,19,81.085157
234.833333,15,81.146047
272.333333,15,81.206059
336.166667,14,81.265073
157.833333,6,81.29008
105.5,4,81.307083
168.0,7,81.335091
198.0,11,81.3801
392.0,46,82.639093
288.833333,9,82.675861
373.333333,28,82.783884
236.5,9,82.825894
292.5,19,82.906912
159.0,7,82.935918
185.666667,7,82.965926
209.0,7,82.995932
224.666667,12,83.049945
192.333333,7,83.080985
203.333333,9,83.114993
147.833333,7,83.145005
255.333333,13,83.957336
344.666667,17,84.031077
197.166667,13,84.083759
216.5,7,84.115454
185.833333,8,84.152376
167.166667,7,84.182253
273.166667,15,84.241637
366.5,29,84.358255
334.333333,20,84.439664
367.333333,25,85.357429
331.333333,21,85.470454
164.0,3,85.486457
329.5,22,85.578729
381.166667,36,85.729763
191.833333,8,85.76277
236.833333,14,85.816781
181.166667,11,86.730343
264.166667,10,86.776353
322.5,21,86.863776
217.5,11,86.914786
293.666667,21,86.998806
310.666667,26,87.10583
293.333333,11,87.15284
277.5,9,87.193852
310.666667,24,87.973061
265.5,19,88.053079
210.5,18,88.131096
304.833333,19,88.209454
199.833333,9,88.246463
312.833333,18,88.317782
178.166667,9,88.357792
271.166667,16,88.421804
163.333333,8,89.036264
212.666667,11,89.077274
239.0,18,89.149288
467.666667,51,89.342334
279.5,19,89.415349
203.0,7,89.445356
475.666667,30,90.637208
163.5,8,90.674217
243.5,18,90.745233
246.0,14,90.821542
280.666667,21,90.90864
166.166667,9,90.945939
386.5,32,91.075568
238.166667,13,91.132097
250.0,17,92.020034
217.0,12,92.069139
328.5,27,92.175641
230.0,13,92.228965
194.5,7,92.257797
169.0,6,92.283185
192.666667,9,92.320885
223.166667,12,92.370863
214.166667,12,92.418194
305.0,24,93.180847
176.166667,8,93.214526
208.166667,15,93.276551
198.5,13,93.328594
274.166667,16,93.390251
273.166667,11,93.435242
221.5,16,93.497737
256.833333,13,93.550381
380.333333,34,94.429234
274.666667,17,94.495249
200.0,11,94.54079
238.333333,15,94.601804
308.833333,26,94.709974
182.833333,7,94.739981
216.666667,12,94.792992
276.0,16,94.855007
283.833333,29,95.649406
218.333333,8,95.690414
213.833333,10,95.741426
240.5,14,95.819443
538.166667,30,95.949722
246.666667,11,95.997734
172.833333,8,96.034742
193.333333,8,96.06975
257.166667,13,96.121761
207.5,16,96.186777
395.833333,22,97.086764
309.333333,24,97.180793
178.333333,11,97.227802
155.333333,10,97.271063
335.166667,23,97.364084
473.5,44,98.441385
252.333333,16,98.510215
200.833333,9,98.550133
177.0,13,98.601257
186.666667,10,98.642487
194.5,8,98.675848
156.833333,13,98.728727
283.166667,18,98.802098
269.0,11,98.851991
357.5,19,98.928509
320.166667,19,99.548294
338.166667,18,99.626045
234.333333,14,99.683058
194.666667,11,99.729067
209.166667,11,99.797014
306.666667,14,99.858035
287.166667,17,99.92705
287.666667,23,100.023072
218.0,20,100.728683
257.5,8,100.763691
269.0,17,100.837708
344.666667,18,100.93773
270.666667,14,101.004745
227.333333,12,101.054756
283.0,14,101.11777
169.5,5,101.142776
269.833333,16,101.215205
282.166667,13,101.793329
214.666667,8,101.823337
287.833333,15,101.884345
248.833333,18,101.950884
304.833333,17,102.016582
257.0,24,102.130936
414.666667,21,102.218516
207.166667,18,102.286109
252.833333,11,102.987687
297.166667,28,103.096712
185.666667,10,103.137721
367.5,21,103.219738
208.5,13,103.269749
220.833333,11,103.31376
430.333333,38,103.453445
168.5,4,104.347193
248.666667,12,104.394204
262.0,14,104.450217
397.833333,35,104.593378
237.333333,10,104.634388
190.0,8,104.665395
242.666667,16,104.73441
300.333333,16,104.809428
183.0,8,104.850437
300.333333,20,105.872472
187.0,6,105.898477
206.166667,11,105.944488
211.166667,10,105.988497
234.333333,10,106.041509
327.5,18,106.137531
385.0,29,106.259559
256.666667,13,106.315573
307.0,13,106.371585
244.166667,10,107.170209
184.833333,11,107.21822
166.5,10,107.262229
205.333333,10,107.305238
184.0,6,107.329244
175.0,8,107.364251
248.0,11,107.414719
297.333333,15,107.474549
198.0,11,107.522024
263.0,25,107.6287
260.833333,10,107.680399
316.333333,23,108.466997
294.666667,16,108.535012
248.166667,16,108.598027
238.833333,11,108.642036
269.333333,18,108.709052
302.0,15,108.771065
374.666667,28,108.881091
266.833333,18,109.648736
211.5,7,109.675625
358.833333,27,109.779601
162.166667,5,109.800219
356.0,25,109.902813
155.0,5,109.922918
261.833333,15,109.985506
207.666667,18,110.055157
383.0,30,110.95001
626.0,59,111.212535
198.833333,13,111.283395
243.5,10,111.3321
187.833333,6,111.355691
283.666667,17,111.424525
195.666667,12,112.842631
252.833333,12,112.888641
363.666667,23,112.976661
198.333333,17,113.045677
293.5,19,113.120178
189.666667,8,113.155187
334.0,18,113.232836
217.166667,15,113.297853
212.166667,15,114.015146
257.666667,12,114.063456
197.166667,11,114.108222
150.5,5,114.130072
182.333333,6,114.155193
316.5,16,114.219409
222.666667,12,114.278105
271.833333,18,114.370249
190.5,7,114.40382
168.166667,7,114.433429
140.0,6,114.45735
203.833333,10,114.499569
186.0,8,114.533921
137.0,3,114.546085
257.166667,13,115.157766
210.5,15,115.218779
144.166667,7,115.247786
258.5,13,115.299341
320.5,15,115.364355
206.0,12,115.414367
208.666667,10,115.458375
241.0,13,115.515627
285.666667,13,115.576641
320.833333,15,115.646657
275.0,13,116.186227
201.666667,9,116.224287
189.5,9,116.261294
229.0,11,116.306304
251.166667,12,116.370442
205.0,7,116.40845
216.666667,11,116.464005
174.0,9,116.501013
163.5,7,116.530019
146.333333,6,116.556277
313.5,26,116.700728
199.666667,12,116.759741
343.833333,22,117.57057
328.0,26,117.684205
339.833333,15,117.74734
281.666667,21,117.838405
177.5,3,117.851417
285.833333,19,117.930425
180.166667,8,117.963434
198.166667,13,118.017445
303.833333,15,118.791141
245.5,8,118.824148
292.833333,18,118.895166
417.166667,26,119.00419
309.833333,17,119.077333
279.5,22,119.168353
176.0,8,119.201363
294.166667,17,119.960427
227.0,13,120.013439
249.0,13,120.069452
292.5,17,120.137468
175.166667,12,120.18748
208.833333,14,120.246492
208.833333,10,120.285841
175.166667,10,120.32685
254.5,14,120.382944
208.833333,7,120.409992
198.166667,6,120.436013
218.0,18,121.035118
205.833333,11,121.08713
333.666667,20,121.17415
366.5,27,121.281175
196.666667,7,121.31118
277.666667,22,121.402585
167.166667,8,121.435593
243.166667,13,121.497256
335.833333,26,122.384895
251.666667,15,122.46445
177.5,12,122.520463
195.5,7,122.548471
235.666667,9,122.583479
200.833333,9,122.621486
168.166667,9,122.657494
186.5,6,122.6845
189.5,7,122.714508
204.166667,17,122.786524
222.333333,9,122.82382
223.666667,10,122.864828
204.5,10,123.423219
237.333333,13,123.474679
242.833333,31,123.597707
271.666667,19,123.671724
236.0,14,123.728736
357.333333,27,123.834761
287.0,21,124.687365
254.833333,21,124.77686
261.5,16,124.840525
489.833333,52,125.049098
308.333333,18,125.137377
233.166667,14,125.197393
152.5,6,126.421157
294.166667,15,126.484169
216.666667,15,126.551186
184.5,11,126.596196
363.833333,28,126.739227
177.5,3,126.758231
182.833333,7,126.789239
238.5,13,126.83825
152.5,8,126.876257
245.0,16,126.942273
205.5,7,126.971279
191.666667,10,127.776779
329.333333,22,127.869801
267.166667,16,127.961138
236.5,7,127.990682
379.833333,16,128.062698
225.833333,7,128.096706
214.666667,9,128.134714
170.0,7,128.16372
356.833333,27,128.273286
181.5,10,128.313296
225.833333,10,129.07063
342.5,25,129.168
259.166667,11,129.21401
165.5,7,129.243015
154.0,5,129.264021
291.833333,21,129.346039
187.0,5,129.366042
335.166667,23,129.458065
246.0,21,129.541083
334.666667,19,130.313276
240.5,11,130.360286
157.5,5,130.381291
353.166667,34,130.517601
192.0,9,130.55661
249.5,14,130.625861
193.0,8,130.66687
387.666667,30,131.665758
338.0,23,131.781765
287.0,15,131.861695
191.666667,16,131.938744
291.833333,15,132.001605
263.5,13,132.056321
329.0,28,132.166234
305.0,24,132.988595
334.333333,20,133.070614
196.833333,11,133.120623
321.333333,16,133.18764
238.0,17,133.259655
211.333333,10,133.316265
236.5,25,133.417287
229.166667,13,133.4683
281.5,17,134.206889
166.5,8,134.238541
255.0,13,134.290551
196.333333,9,134.32756
281.0,18,134.401576
298.5,17,134.475595
307.5,19,134.548609
255.5,13,134.601622
333.333333,21,134.684642
260.5,12,135.321353
188.166667,5,135.342359
234.166667,13,135.396372
228.166667,15,135.456127
316.333333,15,135.517142
193.0,9,135.555149
230.333333,13,135.606162
232.0,9,135.644169
285.166667,15,135.709185
184.5,10,135.748194
265.333333,17,136.26853
382.333333,20,136.346613
178.0,14,136.400876
254.0,13,136.456256
214.833333,16,136.523806
386.166667,34,136.687315
131.5,7,136.718444
200.0,10,136.767611
298.666667,13,137.818326
199.0,6,137.843471
306.333333,20,137.928479
209.333333,7,137.957994
293.333333,17,138.033608
204.833333,8,138.065962
203.0,9,138.105996
124.5,5,138.128593
186.5,7,138.158571
268.833333,19,138.235862
206.0,9,138.275033
108.0,5,138.297433
289.166667,19,138.973964
222.333333,14,139.030976
384.166667,37,139.181861
258.166667,15,139.252904
325.5,22,139.354926
217.0,10,139.398249
207.333333,9,139.437259
231.5,16,140.402386
197.666667,9,140.439719
200.0,10,140.479726
317.0,19,140.552744
247.5,11,140.594752
319.166667,31,140.710778
305.666667,23,140.801987
288.666667,21,140.886007
203.333333,9,141.707185
350.166667,24,141.804207
345.833333,22,141.896227
197.166667,8,141.931235
175.5,6,141.958241
287.0,17,142.029257
165.5,5,142.051263
268.0,16,142.128288
180.666667,6,142.162295
194.5,11,142.220309
188.333333,7,142.260273
216.833333,9,143.004734
242.5,14,143.065747
220.5,7,143.100756
213.0,10,143.147873
254.166667,12,143.202887
216.333333,20,143.294984
184.166667,10,143.344495
160.0,6,143.374502
199.5,11,143.423637
251.5,17,143.492725
195.5,9,143.529733
230.5,13,144.17393
187.0,8,144.210939
262.5,30,144.333965
163.5,10,144.376976
255.833333,14,144.43699
205.333333,12,144.485071
278.0,16,144.551381
282.833333,16,144.620396
194.166667,6,144.649402
235.833333,10,145.442607
236.0,14,145.498618
166.833333,7,145.529625
337.333333,19,145.620687
173.5,9,145.667699
170.0,11,145.712708
200.666667,11,145.754718
237.0,10,145.797727
289.333333,13,145.853742
219.333333,10,145.896749
206.666667,10,145.939758
200.5,10,145.978886
247.833333,11,146.557017
233.166667,9,146.594024
153.0,7,146.624032
227.5,22,146.714051
365.0,25,146.818075
206.0,9,146.855085
164.0,7,146.885091
248.833333,20,146.966109
208.0,10,147.007919
254.0,16,147.803045
332.333333,18,147.879061
252.0,12,147.953078
254.833333,16,148.018691
261.833333,16,148.087706
275.0,19,148.16914
260.666667,20,148.2462
241.0,11,148.29121
406.833333,20,148.987261
348.833333,24,149.081278
396.833333,36,149.219642
296.833333,20,149.297907
142.0,6,149.324528
203.5,11,149.370387
235.166667,11,149.414439
165.5,10,150.343106
236.166667,13,150.397118
274.166667,13,150.450648
266.166667,13,150.501244
188.0,12,150.547255
206.5,9,150.584263
200.333333,14,150.643276
220.5,13,150.694287
222.0,8,150.745299
327.0,18,150.823316
331.166667,16,151.425231
164.5,6,151.450294
261.166667,12,151.500002
226.833333,11,151.54101
176.666667,8,151.572017
343.5,19,151.6525
240.833333,12,151.704512
294.5,25,151.800532
162.333333,11,151.847544
290.333333,19,151.92456
292.333333,21,152.721197
386.666667,18,152.797215
208.833333,10,152.836224
343.0,28,152.946249
224.5,7,152.977255
316.0,23,153.070284
184.5,8,153.104291
187.666667,8,153.139301
266.833333,25,154.006356
270.833333,15,154.073371
353.5,23,154.169392
205.833333,15,154.236407
199.0,13,154.289418
236.833333,10,154.33243
225.833333,11,154.380449
298.166667,15,154.444974
205.833333,13,155.124555
300.5,25,155.224576
398.333333,26,155.326782
316.333333,21,155.406799
299.333333,21,155.489819
229.666667,15,155.551833
328.666667,16,156.289395
225.5,15,156.348951
213.5,13,156.404964
376.5,31,156.529038
204.0,7,156.561047
248.0,15,156.651067
226.0,11,156.697078
168.166667,9,156.737085
164.5,6,156.763092
245.333333,12,156.815103
238.5,11,157.628853
279.833333,22,157.738878
270.333333,17,157.812445
184.333333,9,157.853457
291.5,19,157.927471
146.0,9,157.96348
260.666667,13,158.012491
331.0,17,158.085506
214.5,7,158.120514
234.0,19,158.803905
230.666667,16,158.871921
294.666667,18,158.946937
240.0,16,159.014953
309.166667,13,159.069964
178.666667,7,159.116106
333.833333,15,159.197456
260.166667,15,159.267473
310.833333,27,159.957451
163.833333,11,160.005463
160.5,9,160.042471
268.666667,17,160.116487
203.5,8,160.149495
237.833333,14,160.205507
380.666667,38,160.354854
203.5,6,160.38086
341.0,13,160.430919
235.666667,7,161.388903
185.0,7,161.417284
245.166667,13,161.470296
139.0,7,161.499609
181.5,6,161.522614
221.666667,11,161.568624
219.333333,9,161.607574
406.0,33,161.731602
436.666667,28,161.838626
287.0,11,161.885638
166.166667,8,162.823703
230.333333,11,162.878716
183.5,7,162.907614
192.5,8,162.940622
241.333333,19,163.017639
266.5,16,163.080654
235.166667,11,163.122663
233.5,15,163.18468
237.0,13,163.238688
194.5,7,163.267695
272.333333,17,163.890408
151.5,7,163.917396
318.166667,15,163.977244
372.5,26,164.078956
197.0,12,164.124967
159.5,7,164.153973
237.666667,13,164.207985
305.666667,19,164.283001
195.0,10,164.32401
203.833333,10,164.367021
258.166667,15,165.125747
257.166667,12,165.175758
201.833333,11,165.235743
222.666667,9,165.284099
228.666667,12,165.332109
298.0,19,165.412127
215.666667,14,165.47114
212.333333,8,165.505148
241.833333,11,165.550157
162.0,4,165.568165
196.5,7,165.598169
333.833333,23,166.269497
207.166667,9,166.307583
310.5,15,166.373149
161.0,8,166.408157
199.833333,10,166.452167
281.333333,13,166.505179
181.5,8,166.538611
339.5,22,166.631504
275.5,20,166.712274
204.5,10,166.751282
305.5,29,167.493648
197.833333,8,167.544271
271.833333,13,167.605354
161.0,4,167.623358
249.166667,14,167.679372
260.0,19,167.751427
232.666667,11,167.797438
265.166667,11,167.84486
246.833333,12,167.897871
168.5,10,167.947882
267.5,14,168.716339
162.0,5,168.738345
282.833333,11,168.789355
204.333333,12,168.836367
316.5,14,168.898034
335.833333,17,168.97005
250.666667,13,169.021062
226.0,14,169.075075
199.0,11,169.127086
286.166667,36,169.784109
175.166667,10,169.831121
325.333333,19,169.91514
177.166667,6,169.943145
229.833333,10,170.00716
248.166667,12,170.067173
239.333333,11,170.116657
293.166667,14,170.182604
218.166667,9,170.224614
200.666667,15,170.29363
215.5,13,170.943426
196.666667,7,170.972432
200.0,12,171.020442
163.833333,12,171.068454
283.666667,12,171.117464
228.166667,11,171.161603
365.0,35,171.296054
244.166667,12,171.347065
166.5,10,171.386074
150.5,6,171.413081
183.166667,12,172.29625
408.666667,37,172.440283
170.833333,9,172.477292
291.833333,12,172.525306
235.5,10,172.563311
265.833333,14,172.616379
248.166667,13,172.668392
207.0,15,172.747787
227.666667,11,173.814662
313.5,16,173.879675
237.166667,15,173.94169
218.5,12,173.987699
229.0,10,174.026708
233.666667,8,174.063717
305.333333,23,174.155632
181.166667,12,174.203584
291.333333,20,174.290566
254.0,10,174.981962
207.333333,14,175.038973
344.333333,22,175.130995
255.5,19,175.20501
170.0,14,175.262024
208.333333,10,175.302033
290.166667,15,175.363047
392.5,17,175.432062
293.333333,19,176.158366
162.166667,7,176.189905
207.0,15,176.249919
218.333333,11,176.29793
375.333333,23,176.39524
202.833333,9,176.43525
168.0,7,176.464257
225.166667,14,176.522269
199.0,8,176.555277
286.833333,22,176.649625
179.5,7,176.681255
254.666667,13,177.451648
356.166667,25,177.553548
349.0,26,177.65557
230.833333,9,177.692579
224.166667,9,177.727585
205.5,11,177.774143
331.5,15,177.833156
159.0,9,177.870165
351.333333,13,178.6959
396.0,38,178.849466
