#{"t_start": 1742888363.1492255, "env_id": "None"}
r,l,t
1257.749428,29,122.663663
980.65764,16,122.812176
633.014667,14,122.927202
755.327654,10,123.011785
784.709207,10,123.100355
785.69918,8,123.172371
834.341973,14,123.294398
704.180386,17,123.427975
773.632776,10,123.516995
762.043626,18,123.68223
877.273236,21,123.861178
976.445888,24,124.062498
1019.210277,15,124.203051
784.066463,12,124.308694
1051.671805,23,124.498625
883.666456,11,124.598647
931.283341,15,124.734052
1065.423806,24,124.945437
965.153054,20,125.122377
737.46389,15,125.258049
792.289422,8,125.330022
840.8548,11,125.430256
770.611965,7,125.492269
753.130327,8,125.559879
971.475788,14,125.68055
669.300899,11,125.771448
903.95588,23,125.955835
628.430387,11,126.038855
656.264573,12,126.143879
690.088378,10,126.226048
900.997371,15,126.351932
846.999841,14,126.469959
874.78697,7,126.540974
852.290888,15,126.667315
861.820853,13,126.797898
923.344956,20,126.961057
984.448773,16,127.096215
826.793608,14,127.224403
640.174058,7,127.275307
671.085415,10,127.353677
1075.435887,11,127.461806
674.435835,7,127.520428
1038.344044,15,127.650695
676.901668,10,127.734261
803.326496,8,127.806607
846.40414,24,127.995924
1001.042088,17,128.164481
808.979577,16,128.295966
861.198257,15,128.430021
643.774351,8,128.506114
657.591983,16,128.632365
487.461067,9,128.703149
886.112401,14,128.828779
763.67191,11,128.92466
879.939824,16,129.059138
967.979535,20,129.228701
834.769851,10,129.315133
948.047781,19,129.481059
950.970686,16,129.622538
830.825887,16,129.759414
937.78816,17,129.919323
745.260385,26,130.127379
743.444357,10,130.225415
901.788325,7,130.291095
829.925801,14,130.406724
937.398645,15,130.529487
824.737064,17,130.672255
595.628176,14,130.788221
667.44813,18,130.921148
878.117816,14,131.036378
766.536673,19,131.180044
734.346283,10,131.256443
662.73758,10,131.333302
879.815878,27,131.563526
800.088519,11,131.662392
708.616288,7,131.725863
853.282272,13,131.851285
1218.822518,23,132.043493
748.635647,11,132.134631
820.012148,22,132.311153
915.590079,14,132.430717
686.721352,7,132.486299
697.852233,21,132.652482
925.675014,10,132.745225
687.315638,20,132.906928
721.725465,12,133.01289
862.458699,9,133.093263
607.991578,17,133.232041
739.186708,15,133.359745
742.130199,16,133.500671
694.146783,7,133.558628
998.43062,19,133.728146
913.584685,6,133.782898
695.375741,27,133.996436
926.883412,4,134.033827
1161.18349,26,134.255857
862.661322,16,134.392692
788.546761,14,134.517192
836.501071,13,134.629035
865.319183,4,134.668874
1024.910171,13,134.792085
783.986241,12,134.895576
723.732439,16,135.023668
1021.636458,16,135.169408
852.479705,21,135.346959
858.890139,13,135.45991
575.174085,11,135.543503
702.796035,8,135.609049
670.617114,13,135.710975
758.921904,10,135.798747
693.061113,25,135.984125
896.146791,17,136.137078
940.59088,14,136.270356
1052.630145,9,136.357846
632.270522,10,136.438114
793.721666,15,136.572244
931.626884,11,136.669358
976.973656,5,136.719763
735.200477,12,136.823191
749.2237,6,136.873181
823.092542,8,136.948458
937.310861,10,137.037951
524.325872,12,137.129062
699.312337,17,137.262639
743.251412,10,137.34614
807.937723,14,137.466989
1119.317496,17,137.630964
873.901051,29,137.862165
906.65115,8,137.945827
1294.978103,27,138.177872
829.723758,18,138.315572
707.874499,7,138.367644
865.000534,12,138.45999
942.712449,18,138.610892
797.91709,28,138.826607
1090.380801,22,139.012581
713.292736,12,139.126797
683.173912,16,139.25364
1052.569069,20,139.434063
938.067431,4,139.470283
928.250646,7,139.532062
637.047131,16,139.660584
588.425614,13,139.756698
1489.225465,29,142.10697
930.653872,22,142.292586
810.167208,20,142.459624
891.347042,10,142.550768
647.980218,17,142.700257
676.710211,11,142.786317
847.037979,19,142.951625
572.038445,12,143.043645
619.485086,17,143.177676
1128.287228,13,143.304034
1075.853876,19,143.474112
758.240337,21,143.644689
1096.03706,13,143.766164
780.400109,5,143.805604
753.615321,11,143.891623
977.384661,10,143.991645
739.132363,6,144.044961
1047.264722,17,144.217
1000.41608,7,144.286015
874.097646,14,144.403989
834.699212,12,144.520362
774.778722,14,144.631388
1112.538418,21,144.80921
820.266304,7,144.8713
793.879135,13,144.978721
809.070578,16,145.11175
675.075973,7,145.170763
862.906951,5,145.215022
695.622062,8,145.274035
752.382,10,145.354053
822.368284,17,145.500072
1322.009886,21,145.70579
718.293827,11,145.798475
1016.489762,16,145.935705
659.240271,12,146.026908
837.073551,16,146.145579
771.934134,10,146.232932
685.051325,12,146.332928
783.81692,20,146.493456
978.8105,22,146.671488
832.74089,17,146.81547
910.399502,8,146.888355
588.859645,9,146.952739
731.125367,11,147.038303
693.913843,7,147.090089
929.282323,10,147.18029
835.680482,8,147.251237
1000.064212,22,147.437777
671.009663,24,147.618165
701.481997,12,147.7135
1013.881368,10,147.804762
796.814922,14,147.914114
1018.279495,16,148.05555
715.031047,11,148.15033
800.89311,7,148.21995
655.938824,13,148.321981
668.783134,10,148.403256
733.887867,11,148.488519
840.375667,13,148.602168
903.615452,9,148.684496
1032.506798,21,148.88397
784.528936,17,149.0286
894.135281,16,149.167668
821.485298,14,149.277302
685.915386,11,149.364653
1376.202608,18,149.529227
564.753827,12,149.61575
880.161837,8,149.691116
657.276525,9,149.759
473.695665,15,149.869588
877.297655,5,149.911516
749.135627,14,150.023352
846.341191,6,150.074172
766.149967,5,150.116922
721.898794,14,150.225514
761.052633,15,150.342172
744.222403,13,150.461311
964.260649,22,150.647395
700.183028,15,150.76409
685.887911,17,150.900393
800.01213,9,150.97651
639.611019,15,151.097286
781.541901,13,151.210191
1036.959081,16,151.346177
605.425979,17,151.47179
1009.034263,16,151.605204
729.511529,6,151.651732
965.980017,15,151.788391
829.7534,5,151.834602
850.772727,8,151.917348
694.341971,7,151.973743
913.805264,12,152.086376
684.583413,6,152.136286
855.842237,15,152.263239
780.205815,10,152.343865
903.622094,18,152.490155
917.428636,14,152.606084
788.004721,5,152.646057
909.382442,27,152.863676
890.412412,7,152.928032
951.180855,28,153.153838
698.628092,8,153.217731
852.730672,12,153.31901
650.64795,12,153.415893
896.201612,9,153.496459
593.385855,13,153.59007
781.801089,12,153.700699
721.424665,13,153.806505
903.350833,29,154.027341
816.023392,20,154.191228
800.54459,20,154.352505
862.945753,23,154.532667
698.091825,11,154.627413
750.158341,14,154.737618
865.19655,13,154.838604
863.487103,26,155.04328
515.715544,17,155.16355
590.523117,14,155.289366
1019.281878,4,155.326522
690.771232,8,155.393853
631.544934,10,155.472476
820.433819,15,155.606781
683.748665,16,155.731352
1108.010334,16,155.883333
864.890394,13,155.999963
926.725397,27,156.214536
860.567208,6,156.271466
934.646541,8,156.347993
1063.890055,18,156.502541
925.246774,21,156.676925
830.664785,18,156.836018
1171.93267,13,156.95842
693.066759,15,157.082627
794.302894,24,157.267967
797.714973,11,157.369251
700.103521,10,157.448461
835.348135,13,157.553671
934.401141,20,157.721941
1027.020496,22,157.912677
734.867875,10,157.99496
721.958419,10,158.07327
869.168357,8,158.161539
879.050071,4,158.194187
935.013791,17,158.332344
673.187378,17,158.466552
898.605311,12,158.569484
862.817855,10,158.658459
605.849022,8,158.718628
621.165823,12,158.810942
739.394094,14,158.922534
1112.731948,25,159.136074
1023.6598,18,161.500648
799.005641,11,161.604673
874.217372,16,161.757296
965.83708,6,161.813152
